data,hora,temperatura,umidade,luminosidade
2026-07-01,00:00,20.3,89.5,23
2026-07-01,01:00,20.0,90.7,4
2026-07-01,02:00,19.0,95.0,20
2026-07-01,03:00,18.8,95.0,22
2026-07-01,04:00,18.8,93.7,11
2026-07-01,05:00,19.5,91.0,3
2026-07-01,06:00,20.1,88.7,36
2026-07-01,07:00,22.2,85.4,236
2026-07-01,08:00,22.7,85.1,459
2026-07-01,09:00,23.3,82.7,656
2026-07-01,10:00,24.9,80.5,828
2026-07-01,11:00,26.5,77.1,913
2026-07-01,12:00,27.7,70.5,924
2026-07-01,13:00,28.9,68.2,916
2026-07-01,14:00,28.3,72.3,809
2026-07-01,15:00,29.1,68.9,689
2026-07-01,16:00,28.4,73.2,488
2026-07-01,17:00,28.6,68.7,234
2026-07-01,18:00,28.1,73.1,56
2026-07-01,19:00,26.5,75.0,20
2026-07-01,20:00,25.4,78.0,14
2026-07-01,21:00,23.6,82.1,7
2026-07-01,22:00,22.6,84.5,5
2026-07-01,23:00,21.2,91.4,6
2026-07-02,00:00,21.1,86.6,24
2026-07-02,01:00,19.1,93.9,25
2026-07-02,02:00,19.3,92.7,4
2026-07-02,03:00,19.6,91.2,18
2026-07-02,04:00,19.7,92.6,18
2026-07-02,05:00,19.9,92.1,7
2026-07-02,06:00,20.7,88.2,29
2026-07-02,07:00,21.7,88.0,261
2026-07-02,08:00,22.5,86.6,474
2026-07-02,09:00,23.9,84.4,651
2026-07-02,10:00,24.7,79.4,832
2026-07-02,11:00,25.9,74.0,907
2026-07-02,12:00,27.9,70.5,906
2026-07-02,13:00,28.4,70.9,886
2026-07-02,14:00,28.6,70.4,839
2026-07-02,15:00,29.5,65.4,657
2026-07-02,16:00,28.7,72.1,510
2026-07-02,17:00,28.5,67.7,290
2026-07-02,18:00,27.9,73.4,59
2026-07-02,19:00,27.1,71.4,19
2026-07-02,20:00,25.1,78.5,17
2026-07-02,21:00,23.6,84.7,20
2026-07-02,22:00,22.4,87.4,1
2026-07-02,23:00,22.1,87.5,15
2026-07-03,00:00,20.9,89.3,18
2026-07-03,01:00,20.1,92.1,13
2026-07-03,02:00,19.2,95.0,21
2026-07-03,03:00,18.7,93.7,6
2026-07-03,04:00,19.5,92.7,10
2026-07-03,05:00,20.2,92.3,20
2026-07-03,06:00,20.6,89.7,46
2026-07-03,07:00,21.5,89.7,281
2026-07-03,08:00,22.5,88.1,468
2026-07-03,09:00,24.3,81.6,673
2026-07-03,10:00,25.8,74.2,833
2026-07-03,11:00,26.9,76.8,908
2026-07-03,12:00,28.4,69.4,918
2026-07-03,13:00,28.7,66.9,925
2026-07-03,14:00,29.6,68.0,806
2026-07-03,15:00,29.3,69.9,640
2026-07-03,16:00,29.3,67.8,508
2026-07-03,17:00,28.4,68.7,257
2026-07-03,18:00,28.2,71.0,30
2026-07-03,19:00,26.5,73.3,7
2026-07-03,20:00,25.7,75.3,4
2026-07-03,21:00,24.1,79.2,24
2026-07-03,22:00,22.2,87.2,8
2026-07-03,23:00,21.3,90.1,2
2026-07-04,00:00,20.5,91.3,22
2026-07-04,01:00,19.7,90.8,16
2026-07-04,02:00,19.1,95.0,2
2026-07-04,03:00,19.5,94.1,14
2026-07-04,04:00,19.4,92.3,10
2026-07-04,05:00,19.7,89.9,11
2026-07-04,06:00,21.4,90.9,37
2026-07-04,07:00,22.4,84.5,282
2026-07-04,08:00,23.6,82.2,482
2026-07-04,09:00,24.3,80.3,642
2026-07-04,10:00,25.3,76.0,813
2026-07-04,11:00,27.4,74.9,901
2026-07-04,12:00,27.9,71.3,918
2026-07-04,13:00,28.4,69.0,871
2026-07-04,14:00,28.6,67.4,832
2026-07-04,15:00,29.8,67.9,689
2026-07-04,16:00,28.6,72.0,493
2026-07-04,17:00,29.0,66.1,274
2026-07-04,18:00,28.0,70.4,4
2026-07-04,19:00,27.2,74.1,10
2026-07-04,20:00,25.9,74.2,13
2026-07-04,21:00,24.6,82.6,5
2026-07-04,22:00,23.3,85.1,16
2026-07-04,23:00,21.8,90.1,5
2026-07-05,00:00,20.2,89.3,16
2026-07-05,01:00,20.4,91.1,1
2026-07-05,02:00,20.1,92.5,2
2026-07-05,03:00,19.8,93.2,1
2026-07-05,04:00,20.2,88.7,0
2026-07-05,05:00,20.0,94.6,0
2026-07-05,06:00,20.3,89.1,31
2026-07-05,07:00,21.8,88.0,259
2026-07-05,08:00,22.9,86.7,482
2026-07-05,09:00,24.5,81.3,691
2026-07-05,10:00,25.7,75.8,829
2026-07-05,11:00,26.9,77.0,923
2026-07-05,12:00,27.6,74.9,959
2026-07-05,13:00,29.2,66.0,910
2026-07-05,14:00,29.7,69.4,796
2026-07-05,15:00,28.9,70.4,696
2026-07-05,16:00,28.9,69.6,468
2026-07-05,17:00,28.0,72.3,273
2026-07-05,18:00,28.1,71.5,55
2026-07-05,19:00,27.5,70.9,9
2026-07-05,20:00,26.3,75.2,16
2026-07-05,21:00,24.6,78.6,13
2026-07-05,22:00,23.2,82.2,17
2026-07-05,23:00,22.3,86.9,12
2026-07-06,00:00,20.9,89.4,21
2026-07-06,01:00,20.4,89.9,22
2026-07-06,02:00,19.4,95.0,11
2026-07-06,03:00,19.1,91.9,22
2026-07-06,04:00,20.2,89.9,17
2026-07-06,05:00,20.0,91.8,18
2026-07-06,06:00,21.6,88.6,12
2026-07-06,07:00,21.9,85.5,281
2026-07-06,08:00,23.3,82.5,468
2026-07-06,09:00,23.9,84.2,637
2026-07-06,10:00,25.8,76.1,794
2026-07-06,11:00,26.8,77.2,902
2026-07-06,12:00,28.1,72.3,937
2026-07-06,13:00,28.6,66.8,887
2026-07-06,14:00,30.0,68.7,808
2026-07-06,15:00,30.0,65.1,678
2026-07-06,16:00,29.7,69.3,506
2026-07-06,17:00,29.3,66.0,238
2026-07-06,18:00,28.2,69.5,32
2026-07-06,19:00,26.5,76.5,8
2026-07-06,20:00,26.3,73.0,1
2026-07-06,21:00,25.1,78.9,4
2026-07-06,22:00,23.5,84.7,16
2026-07-06,23:00,22.3,88.1,1
2026-07-07,00:00,20.6,88.3,2
2026-07-07,01:00,19.7,92.3,12
2026-07-07,02:00,19.5,91.2,22
2026-07-07,03:00,19.9,91.9,16
2026-07-07,04:00,20.3,93.9,10
2026-07-07,05:00,19.6,91.0,0
2026-07-07,06:00,21.6,86.2,17
2026-07-07,07:00,22.2,85.9,270
2026-07-07,08:00,23.1,85.9,488
2026-07-07,09:00,24.8,79.1,680
2026-07-07,10:00,25.9,78.0,811
2026-07-07,11:00,27.7,74.8,913
2026-07-07,12:00,28.0,73.8,902
2026-07-07,13:00,28.5,69.3,907
2026-07-07,14:00,29.8,66.3,818
2026-07-07,15:00,29.4,67.8,655
2026-07-07,16:00,28.8,71.1,489
2026-07-07,17:00,29.2,67.6,262
2026-07-07,18:00,28.5,69.1,50
2026-07-07,19:00,27.6,71.6,14
2026-07-07,20:00,25.2,76.1,12
2026-07-07,21:00,24.4,78.3,22
2026-07-07,22:00,23.8,83.0,1
2026-07-07,23:00,21.9,88.2,2
2026-07-08,00:00,20.5,90.7,11
2026-07-08,01:00,20.9,91.4,10
2026-07-08,02:00,19.5,93.3,7
2026-07-08,03:00,19.5,91.1,3
2026-07-08,04:00,19.6,93.8,3
2026-07-08,05:00,19.7,94.6,3
2026-07-08,06:00,21.3,89.7,41
2026-07-08,07:00,22.6,88.0,259
2026-07-08,08:00,23.2,86.3,490
2026-07-08,09:00,24.3,79.9,647
2026-07-08,10:00,25.8,78.3,819
2026-07-08,11:00,27.4,75.3,901
2026-07-08,12:00,28.8,69.5,912
2026-07-08,13:00,28.7,68.3,893
2026-07-08,14:00,29.0,67.8,827
2026-07-08,15:00,29.0,65.8,654
2026-07-08,16:00,29.0,70.6,469
2026-07-08,17:00,28.9,71.3,275
2026-07-08,18:00,28.1,70.7,28
2026-07-08,19:00,26.5,76.2,10
2026-07-08,20:00,25.4,78.6,1
2026-07-08,21:00,25.1,80.0,20
2026-07-08,22:00,23.7,85.0,24
2026-07-08,23:00,21.6,86.5,18
2026-07-09,00:00,20.6,90.5,5
2026-07-09,01:00,20.8,88.0,2
2026-07-09,02:00,19.5,92.8,23
2026-07-09,03:00,19.9,90.2,4
2026-07-09,04:00,19.7,95.0,19
2026-07-09,05:00,20.1,92.3,24
2026-07-09,06:00,21.7,88.1,2
2026-07-09,07:00,21.9,86.4,289
2026-07-09,08:00,23.9,84.7,492
2026-07-09,09:00,25.1,81.3,696
2026-07-09,10:00,26.3,78.5,834
2026-07-09,11:00,26.7,73.4,894
2026-07-09,12:00,28.6,66.8,957
2026-07-09,13:00,29.1,69.7,902
2026-07-09,14:00,29.1,66.1,835
2026-07-09,15:00,29.8,64.2,644
2026-07-09,16:00,29.9,65.7,499
2026-07-09,17:00,29.3,66.3,282
2026-07-09,18:00,28.9,67.5,37
2026-07-09,19:00,27.5,72.3,13
2026-07-09,20:00,26.7,75.7,4
2026-07-09,21:00,24.9,80.5,17
2026-07-09,22:00,24.1,82.0,6
2026-07-09,23:00,22.0,87.0,13
2026-07-10,00:00,21.1,91.8,12
2026-07-10,01:00,21.0,90.8,2
2026-07-10,02:00,20.6,89.1,4
2026-07-10,03:00,20.3,91.7,4
2026-07-10,04:00,20.3,88.8,5
2026-07-10,05:00,21.0,89.4,18
2026-07-10,06:00,21.7,90.3,39
2026-07-10,07:00,22.2,86.3,261
2026-07-10,08:00,23.9,81.4,471
2026-07-10,09:00,24.5,78.6,684
2026-07-10,10:00,25.5,75.5,821
2026-07-10,11:00,27.6,69.6,908
2026-07-10,12:00,27.7,74.2,908
2026-07-10,13:00,29.1,69.2,923
2026-07-10,14:00,30.2,68.1,791
2026-07-10,15:00,29.2,66.6,667
2026-07-10,16:00,30.3,64.7,495
2026-07-10,17:00,29.4,67.8,287
2026-07-10,18:00,28.9,68.6,51
2026-07-10,19:00,27.3,71.3,0
2026-07-10,20:00,25.4,75.2,8
2026-07-10,21:00,25.1,77.3,23
2026-07-10,22:00,23.0,86.7,7
2026-07-10,23:00,22.6,87.1,15
2026-07-11,00:00,21.3,90.5,0
2026-07-11,01:00,20.6,92.9,21
2026-07-11,02:00,19.7,94.3,9
2026-07-11,03:00,19.7,91.0,9
2026-07-11,04:00,20.1,92.8,1
2026-07-11,05:00,21.2,86.4,0
2026-07-11,06:00,21.9,88.2,34
2026-07-11,07:00,21.8,84.6,258
2026-07-11,08:00,23.9,80.4,451
2026-07-11,09:00,24.4,79.4,644
2026-07-11,10:00,26.1,78.2,790
2026-07-11,11:00,27.8,73.4,924
2026-07-11,12:00,27.8,72.7,901
2026-07-11,13:00,29.8,64.1,901
2026-07-11,14:00,29.3,68.8,814
2026-07-11,15:00,30.3,66.5,670
2026-07-11,16:00,29.3,69.7,464
2026-07-11,17:00,29.7,66.7,292
2026-07-11,18:00,28.9,67.3,39
2026-07-11,19:00,27.6,69.3,17
2026-07-11,20:00,26.7,73.6,21
2026-07-11,21:00,25.2,75.7,3
2026-07-11,22:00,23.8,82.6,6
2026-07-11,23:00,22.9,83.0,3
2026-07-12,00:00,21.4,88.0,22
2026-07-12,01:00,20.4,88.3,0
2026-07-12,02:00,19.8,89.9,7
2026-07-12,03:00,20.4,92.3,13
2026-07-12,04:00,19.7,95.0,1
2026-07-12,05:00,21.3,89.2,12
2026-07-12,06:00,21.6,85.2,10
2026-07-12,07:00,22.0,84.9,283
2026-07-12,08:00,23.8,83.3,487
2026-07-12,09:00,25.1,75.9,640
2026-07-12,10:00,26.3,73.5,822
2026-07-12,11:00,28.0,71.4,927
2026-07-12,12:00,28.3,71.6,906
2026-07-12,13:00,29.4,69.8,910
2026-07-12,14:00,29.7,65.0,824
2026-07-12,15:00,29.6,69.0,695
2026-07-12,16:00,29.2,68.2,462
2026-07-12,17:00,29.6,67.0,289
2026-07-12,18:00,29.1,67.2,49
2026-07-12,19:00,27.4,71.3,11
2026-07-12,20:00,26.4,77.4,4
2026-07-12,21:00,25.2,75.7,24
2026-07-12,22:00,23.5,82.4,3
2026-07-12,23:00,23.0,82.4,13
2026-07-13,00:00,20.9,86.9,22
2026-07-13,01:00,21.4,90.8,11
2026-07-13,02:00,19.9,92.8,10
2026-07-13,03:00,20.6,90.2,2
2026-07-13,04:00,20.0,94.1,19
2026-07-13,05:00,20.5,89.4,6
2026-07-13,06:00,21.9,85.2,49
2026-07-13,07:00,22.0,86.1,237
2026-07-13,08:00,24.0,81.0,497
2026-07-13,09:00,24.9,77.9,646
2026-07-13,10:00,26.7,74.3,789
2026-07-13,11:00,27.4,72.1,889
2026-07-13,12:00,28.1,68.7,905
2026-07-13,13:00,29.8,64.4,874
2026-07-13,14:00,30.6,66.1,802
2026-07-13,15:00,30.2,68.2,660
2026-07-13,16:00,30.5,66.2,498
2026-07-13,17:00,29.3,66.2,274
2026-07-13,18:00,28.1,70.6,40
2026-07-13,19:00,27.0,72.2,16
2026-07-13,20:00,26.9,76.5,7
2026-07-13,21:00,24.9,77.6,3
2026-07-13,22:00,24.1,80.9,17
2026-07-13,23:00,22.1,84.3,8
2026-07-14,00:00,21.7,85.2,14
2026-07-14,01:00,20.5,91.4,13
2026-07-14,02:00,20.9,88.8,2
2026-07-14,03:00,20.2,93.1,5
2026-07-14,04:00,19.9,93.9,9
2026-07-14,05:00,21.2,86.4,12
2026-07-14,06:00,21.3,91.2,7
2026-07-14,07:00,23.4,84.0,252
2026-07-14,08:00,24.0,81.9,458
2026-07-14,09:00,25.6,76.5,654
2026-07-14,10:00,26.8,76.0,832
2026-07-14,11:00,27.3,70.2,872
2026-07-14,12:00,28.2,71.6,919
2026-07-14,13:00,29.1,69.3,873
2026-07-14,14:00,30.0,63.8,812
2026-07-14,15:00,30.2,66.7,679
2026-07-14,16:00,29.3,66.3,475
2026-07-14,17:00,28.9,69.1,235
2026-07-14,18:00,28.0,73.2,1
2026-07-14,19:00,28.1,72.1,14
2026-07-14,20:00,26.8,75.6,11
2026-07-14,21:00,25.2,78.2,4
2026-07-14,22:00,23.4,84.3,6
2026-07-14,23:00,22.8,84.1,7
2026-07-15,00:00,22.3,87.5,14
2026-07-15,01:00,20.8,87.7,8
2026-07-15,02:00,20.6,91.7,10
2026-07-15,03:00,20.4,90.5,21
2026-07-15,04:00,20.9,88.2,25
2026-07-15,05:00,21.1,91.5,23
2026-07-15,06:00,22.2,85.5,9
2026-07-15,07:00,22.8,83.3,264
2026-07-15,08:00,23.9,79.0,454
2026-07-15,09:00,25.7,77.0,680
2026-07-15,10:00,26.6,72.8,818
2026-07-15,11:00,28.2,73.2,900
2026-07-15,12:00,28.4,71.4,926
2026-07-15,13:00,30.2,63.6,874
2026-07-15,14:00,29.5,65.2,827
2026-07-15,15:00,30.2,64.6,670
2026-07-15,16:00,30.6,67.1,489
2026-07-15,17:00,29.3,68.3,240
2026-07-15,18:00,28.4,71.3,3
2026-07-15,19:00,27.5,73.9,23
2026-07-15,20:00,26.6,77.2,13
2026-07-15,21:00,25.6,74.7,11
2026-07-15,22:00,23.6,83.8,0
2026-07-15,23:00,22.5,84.5,10
2026-07-16,00:00,21.4,88.8,3
2026-07-16,01:00,21.3,89.1,5
2026-07-16,02:00,20.2,94.1,4
2026-07-16,03:00,20.6,92.6,3
2026-07-16,04:00,20.9,92.4,5
2026-07-16,05:00,21.2,87.9,21
2026-07-16,06:00,21.5,89.0,27
2026-07-16,07:00,23.2,83.2,235
2026-07-16,08:00,24.4,81.5,495
2026-07-16,09:00,25.5,76.1,695
2026-07-16,10:00,26.4,77.6,802
2026-07-16,11:00,27.8,71.7,896
2026-07-16,12:00,28.8,69.8,920
2026-07-16,13:00,29.3,67.3,918
2026-07-16,14:00,30.4,67.3,780
2026-07-16,15:00,30.5,66.3,679
2026-07-16,16:00,30.0,68.8,503
2026-07-16,17:00,29.8,65.1,256
2026-07-16,18:00,29.1,68.4,55
2026-07-16,19:00,27.7,70.2,10
2026-07-16,20:00,26.5,75.5,5
2026-07-16,21:00,25.8,76.5,12
2026-07-16,22:00,23.7,80.5,22
2026-07-16,23:00,22.8,83.4,6
2026-07-17,00:00,22.2,83.4,23
2026-07-17,01:00,20.9,89.6,22
2026-07-17,02:00,20.5,88.1,6
2026-07-17,03:00,20.2,93.9,9
2026-07-17,04:00,20.4,92.4,23
2026-07-17,05:00,21.5,85.7,11
2026-07-17,06:00,22.5,87.1,44
2026-07-17,07:00,22.5,86.1,265
2026-07-17,08:00,23.6,83.5,478
2026-07-17,09:00,26.0,76.9,646
2026-07-17,10:00,26.5,78.1,817
2026-07-17,11:00,28.4,67.4,910
2026-07-17,12:00,29.6,67.6,931
2026-07-17,13:00,29.9,68.0,925
2026-07-17,14:00,30.5,65.7,794
2026-07-17,15:00,30.1,65.0,680
2026-07-17,16:00,30.0,66.5,509
2026-07-17,17:00,30.4,62.6,236
2026-07-17,18:00,29.7,64.2,10
2026-07-17,19:00,28.0,69.7,10
2026-07-17,20:00,26.7,76.4,22
2026-07-17,21:00,25.7,74.7,16
2026-07-17,22:00,24.8,80.1,24
2026-07-17,23:00,23.5,80.8,0
2026-07-18,00:00,21.4,86.9,14
2026-07-18,01:00,20.6,91.5,3
2026-07-18,02:00,20.6,90.9,25
2026-07-18,03:00,20.3,93.1,16
2026-07-18,04:00,20.2,91.4,17
2026-07-18,05:00,20.7,88.3,25
2026-07-18,06:00,22.4,86.7,34
2026-07-18,07:00,22.4,88.0,293
2026-07-18,08:00,24.4,81.9,468
2026-07-18,09:00,25.3,79.5,687
2026-07-18,10:00,26.5,76.5,832
2026-07-18,11:00,27.5,70.7,890
2026-07-18,12:00,29.3,65.5,944
2026-07-18,13:00,30.2,63.3,884
2026-07-18,14:00,30.4,62.7,789
2026-07-18,15:00,29.9,67.9,664
2026-07-18,16:00,30.8,62.7,480
2026-07-18,17:00,30.0,64.6,249
2026-07-18,18:00,28.9,70.0,4
2026-07-18,19:00,27.7,69.9,17
2026-07-18,20:00,26.3,77.6,16
2026-07-18,21:00,26.1,73.4,19
2026-07-18,22:00,23.7,80.0,6
2026-07-18,23:00,23.1,83.3,23
2026-07-19,00:00,21.5,89.1,20
2026-07-19,01:00,20.7,88.2,7
2026-07-19,02:00,20.4,89.6,15
2026-07-19,03:00,20.1,92.7,3
2026-07-19,04:00,21.5,87.9,22
2026-07-19,05:00,21.8,89.3,10
2026-07-19,06:00,21.7,89.5,46
2026-07-19,07:00,22.8,87.5,268
2026-07-19,08:00,24.2,83.0,452
2026-07-19,09:00,25.1,81.1,670
2026-07-19,10:00,27.3,70.7,821
2026-07-19,11:00,28.7,71.7,921
2026-07-19,12:00,29.7,64.0,950
2026-07-19,13:00,30.2,62.6,904
2026-07-19,14:00,30.9,61.9,808
2026-07-19,15:00,30.2,63.7,688
2026-07-19,16:00,30.7,61.2,504
2026-07-19,17:00,30.1,62.7,280
2026-07-19,18:00,29.3,67.4,38
2026-07-19,19:00,27.8,72.8,1
2026-07-19,20:00,26.3,77.6,16
2026-07-19,21:00,25.7,75.5,3
2026-07-19,22:00,24.5,78.4,19
2026-07-19,23:00,22.7,83.2,15
2026-07-20,00:00,22.3,83.4,12
2026-07-20,01:00,21.9,88.0,20
2026-07-20,02:00,20.8,88.8,23
2026-07-20,03:00,20.1,94.6,8
2026-07-20,04:00,21.4,86.1,23
2026-07-20,05:00,20.7,90.0,11
2026-07-20,06:00,22.6,86.0,36
2026-07-20,07:00,23.5,85.9,278
2026-07-20,08:00,24.3,80.0,478
2026-07-20,09:00,25.6,79.7,688
2026-07-20,10:00,27.4,73.5,821
2026-07-20,11:00,28.1,69.3,874
2026-07-20,12:00,29.4,65.3,905
2026-07-20,13:00,29.5,65.7,881
2026-07-20,14:00,31.1,64.5,781
2026-07-20,15:00,30.2,68.1,669
2026-07-20,16:00,30.6,62.9,478
2026-07-20,17:00,30.3,64.8,240
2026-07-20,18:00,28.8,68.7,31
2026-07-20,19:00,28.3,69.5,8
2026-07-20,20:00,26.4,73.6,20
2026-07-20,21:00,25.2,79.6,22
2026-07-20,22:00,24.9,81.4,17
2026-07-20,23:00,23.6,85.1,11
2026-07-21,00:00,22.7,82.7,18
2026-07-21,01:00,21.0,92.1,20
2026-07-21,02:00,21.1,86.6,10
2026-07-21,03:00,21.2,89.2,23
2026-07-21,04:00,21.3,90.0,0
2026-07-21,05:00,21.7,85.1,15
2026-07-21,06:00,22.8,83.4,52
2026-07-21,07:00,23.3,82.8,255
2026-07-21,08:00,25.1,76.3,451
2026-07-21,09:00,25.4,77.2,688
2026-07-21,10:00,26.4,76.3,797
2026-07-21,11:00,28.1,68.2,902
2026-07-21,12:00,29.8,65.9,942
2026-07-21,13:00,30.0,66.9,907
2026-07-21,14:00,30.1,63.4,829
2026-07-21,15:00,31.2,62.3,683
2026-07-21,16:00,30.3,63.0,460
2026-07-21,17:00,29.6,67.3,255
2026-07-21,18:00,29.3,65.8,41
2026-07-21,19:00,27.7,73.0,5
2026-07-21,20:00,27.0,72.5,21
2026-07-21,21:00,25.8,78.2,9
2026-07-21,22:00,23.9,79.7,9
2026-07-21,23:00,22.7,86.7,3
2026-07-22,00:00,22.8,86.3,10
2026-07-22,01:00,21.0,88.5,3
2026-07-22,02:00,21.4,87.2,17
2026-07-22,03:00,21.4,91.1,4
2026-07-22,04:00,21.7,86.3,20
2026-07-22,05:00,21.3,86.6,4
2026-07-22,06:00,22.6,87.4,43
2026-07-22,07:00,23.3,81.5,284
2026-07-22,08:00,24.8,79.0,484
2026-07-22,09:00,26.4,73.5,661
2026-07-22,10:00,26.9,74.0,794
2026-07-22,11:00,28.4,70.4,911
2026-07-22,12:00,28.8,68.3,941
2026-07-22,13:00,29.6,65.2,883
2026-07-22,14:00,30.8,63.1,830
2026-07-22,15:00,30.4,67.7,647
2026-07-22,16:00,30.8,62.3,455
2026-07-22,17:00,29.9,65.8,265
2026-07-22,18:00,28.9,71.8,59
2026-07-22,19:00,28.6,71.6,3
2026-07-22,20:00,27.2,75.7,12
2026-07-22,21:00,26.1,75.7,15
2026-07-22,22:00,25.1,80.0,24
2026-07-22,23:00,23.6,81.4,4
2026-07-23,00:00,22.2,87.1,21
2026-07-23,01:00,21.1,89.2,18
2026-07-23,02:00,20.8,87.2,24
2026-07-23,03:00,20.8,92.8,14
2026-07-23,04:00,21.7,86.1,3
2026-07-23,05:00,21.5,86.7,7
2026-07-23,06:00,22.9,86.0,21
2026-07-23,07:00,23.2,83.0,261
2026-07-23,08:00,25.0,77.3,493
2026-07-23,09:00,26.7,72.8,688
2026-07-23,10:00,27.9,74.4,783
2026-07-23,11:00,28.4,68.8,884
2026-07-23,12:00,30.2,63.3,905
2026-07-23,13:00,30.9,64.0,886
2026-07-23,14:00,30.9,65.4,814
2026-07-23,15:00,31.6,64.0,681
2026-07-23,16:00,30.6,63.1,454
2026-07-23,17:00,30.0,64.5,263
2026-07-23,18:00,30.1,65.8,26
2026-07-23,19:00,29.0,69.2,10
2026-07-23,20:00,26.8,73.5,5
2026-07-23,21:00,25.5,78.8,19
2026-07-23,22:00,25.2,77.0,25
2026-07-23,23:00,23.5,82.2,13
2026-07-24,00:00,22.2,88.2,24
2026-07-24,01:00,21.1,87.8,18
2026-07-24,02:00,21.2,86.6,13
2026-07-24,03:00,21.0,90.0,13
2026-07-24,04:00,21.4,88.0,21
2026-07-24,05:00,21.4,90.3,10
2026-07-24,06:00,21.9,89.0,26
2026-07-24,07:00,23.3,81.1,263
2026-07-24,08:00,25.5,78.9,469
2026-07-24,09:00,25.5,74.8,652
2026-07-24,10:00,26.8,73.5,792
2026-07-24,11:00,28.5,70.8,902
2026-07-24,12:00,30.2,63.8,923
2026-07-24,13:00,30.8,64.8,903
2026-07-24,14:00,30.3,62.4,808
2026-07-24,15:00,30.8,65.0,684
2026-07-24,16:00,30.3,63.2,486
2026-07-24,17:00,29.9,68.4,257
2026-07-24,18:00,28.9,67.6,19
2026-07-24,19:00,28.1,72.2,5
2026-07-24,20:00,27.0,75.4,24
2026-07-24,21:00,26.5,73.7,20
2026-07-24,22:00,25.3,77.4,17
2026-07-24,23:00,23.9,80.5,7
2026-07-25,00:00,23.3,82.6,17
2026-07-25,01:00,22.1,87.2,9
2026-07-25,02:00,21.7,84.9,11
2026-07-25,03:00,21.7,84.8,6
2026-07-25,04:00,21.1,86.4,13
2026-07-25,05:00,22.4,85.0,2
2026-07-25,06:00,23.2,83.9,30
2026-07-25,07:00,23.9,81.8,282
2026-07-25,08:00,24.6,77.4,466
2026-07-25,09:00,26.5,77.4,654
2026-07-25,10:00,27.2,72.6,787
2026-07-25,11:00,28.4,69.2,870
2026-07-25,12:00,29.6,64.0,924
2026-07-25,13:00,30.9,60.8,903
2026-07-25,14:00,30.4,62.5,791
2026-07-25,15:00,30.9,64.8,636
2026-07-25,16:00,30.7,62.1,462
2026-07-25,17:00,30.6,63.5,276
2026-07-25,18:00,29.1,66.9,13
2026-07-25,19:00,29.0,67.3,20
2026-07-25,20:00,26.8,73.6,19
2026-07-25,21:00,25.7,76.1,22
2026-07-25,22:00,24.7,77.1,5
2026-07-25,23:00,24.2,81.6,8
2026-07-26,00:00,23.2,85.2,14
2026-07-26,01:00,22.1,88.0,20
2026-07-26,02:00,21.8,87.9,19
2026-07-26,03:00,20.6,90.7,10
2026-07-26,04:00,20.8,91.6,22
2026-07-26,05:00,22.2,88.1,21
2026-07-26,06:00,22.9,86.0,57
2026-07-26,07:00,23.5,82.5,236
2026-07-26,08:00,24.5,79.6,494
2026-07-26,09:00,25.9,78.1,674
2026-07-26,10:00,27.1,76.6,839
2026-07-26,11:00,28.4,69.9,915
2026-07-26,12:00,29.9,68.1,923
2026-07-26,13:00,31.1,65.3,883
2026-07-26,14:00,31.0,63.3,816
2026-07-26,15:00,31.8,58.3,670
2026-07-26,16:00,31.6,62.4,505
2026-07-26,17:00,31.0,63.8,287
2026-07-26,18:00,29.6,67.6,42
2026-07-26,19:00,28.1,73.8,16
2026-07-26,20:00,27.6,69.9,22
2026-07-26,21:00,26.6,74.4,9
2026-07-26,22:00,25.3,78.3,15
2026-07-26,23:00,23.5,83.1,7
2026-07-27,00:00,22.2,84.2,24
2026-07-27,01:00,22.5,86.5,6
2026-07-27,02:00,21.2,91.1,1
2026-07-27,03:00,21.6,85.0,5
2026-07-27,04:00,20.8,91.0,22
2026-07-27,05:00,22.2,86.0,1
2026-07-27,06:00,22.5,87.3,0
2026-07-27,07:00,23.6,80.8,252
2026-07-27,08:00,24.5,81.7,480
2026-07-27,09:00,26.8,75.5,692
2026-07-27,10:00,27.6,73.2,804
2026-07-27,11:00,28.3,72.0,872
2026-07-27,12:00,30.0,63.7,922
2026-07-27,13:00,30.8,61.2,886
2026-07-27,14:00,31.6,60.0,822
2026-07-27,15:00,31.8,63.0,655
2026-07-27,16:00,31.0,62.1,468
2026-07-27,17:00,31.1,60.3,258
2026-07-27,18:00,29.9,64.6,55
2026-07-27,19:00,28.6,71.8,19
2026-07-27,20:00,27.2,75.2,23
2026-07-27,21:00,25.7,76.4,8
2026-07-27,22:00,24.5,78.2,11
2026-07-27,23:00,24.4,82.4,6
2026-07-28,00:00,22.8,86.3,5
2026-07-28,01:00,21.4,86.4,4
2026-07-28,02:00,21.0,86.9,22
2026-07-28,03:00,21.7,86.4,5
2026-07-28,04:00,21.3,89.3,1
2026-07-28,05:00,22.5,86.7,17
2026-07-28,06:00,22.4,84.7,26
2026-07-28,07:00,24.5,81.7,269
2026-07-28,08:00,25.5,79.9,502
2026-07-28,09:00,26.9,71.5,656
2026-07-28,10:00,28.4,69.5,833
